customer_key,transaction_count,transaction_value,fraud_transaction_count,fraud_rate_pct,fraud_loss,average_transaction_amount
36499,196,23546.63,5.0,2.551,6532.72,120.14
27878,48,10875.39,1.0,2.0833,5783.65,226.57
36104,60,12110.51,4.0,6.6667,5654.79,201.84
9976,108,14357.44,1.0,0.9259,5456.28,132.94
14539,161,19717.54,6.0,3.7267,4692.05,122.47
22190,167,17781.6,8.0,4.7904,4601.13,106.48
22495,116,16121.61,2.0,1.7241,4562.37,138.98
31497,66,10313.72,5.0,7.5758,4518.7,156.27
38447,35,8089.89,2.0,5.7143,4454.35,231.14
5491,111,14104.38,4.0,3.6036,4421.43,127.07
23635,139,15809.39,5.0,3.5971,4309.39,113.74
14967,71,9920.87,3.0,4.2254,4276.31,139.73
23614,62,11121.84,4.0,6.4516,4213.09,179.38
9496,96,15303.79,2.0,2.0833,4183.29,159.41
31482,60,9819.56,2.0,3.3333,4089.31,163.66
7363,73,12816.99,2.0,2.7397,4048.98,175.58
13488,131,16886.08,3.0,2.2901,4013.11,128.9
9657,107,14589.99,8.0,7.4766,3940.92,136.36
44855,90,11005.99,4.0,4.4444,3923.24,122.29
33255,104,17999.6,4.0,3.8462,3783.85,173.07
5547,65,10062.69,5.0,7.6923,3773.38,154.81
38116,101,12405.15,7.0,6.9307,3698.68,122.82
15614,73,9977.39,6.0,8.2192,3673.66,136.68
29336,120,16089.71,6.0,5.0,3655.74,134.08
15669,158,14076.97,5.0,3.1646,3644.62,89.09
49821,79,10336.52,2.0,2.5316,3628.75,130.84
10067,84,11387.6,5.0,5.9524,3542.61,135.57
27553,133,14960.79,6.0,4.5113,3498.03,112.49
37892,52,8261.45,3.0,5.7692,3462.1,158.87
47782,73,10665.2,2.0,2.7397,3446.73,146.1
46344,56,9863.63,1.0,1.7857,3444.09,176.14
37546,61,10495.56,3.0,4.918,3429.73,172.06
45524,89,11507.28,1.0,1.1236,3368.78,129.3
14042,147,13712.12,4.0,2.7211,3348.12,93.28
11795,78,10822.01,6.0,7.6923,3344.32,138.74
42153,59,9462.73,4.0,6.7797,3319.27,160.39
44050,63,8821.66,3.0,4.7619,3303.11,140.03
15249,78,9077.98,4.0,5.1282,3302.5,116.38
23640,104,12658.2,3.0,2.8846,3300.07,121.71
6625,143,15064.41,5.0,3.4965,3267.46,105.35
44485,125,14580.78,4.0,3.2,3223.53,116.65
14895,121,14546.49,5.0,4.1322,3218.48,120.22
23426,38,5859.43,2.0,5.2632,3210.99,154.2
